Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Fetch Available Itineraries,150,1,4200.0,4336.971661333324,161.83180000371067,10017.915999997058,29217.746666666666,0.16657917745639989,0.0011105278497093325,4200,5900,6400,6900,7700,9000,9900,9900,10000,10000,10000
POST,Journey: Add Comment,8822,12,60,78.66081737701384,34.528300006059,4540.404699997453,184.15552029018363,9.797076690135732,0.013326334196511991,60,64,68,72,110,160,250,330,1000,4500,4500
GET,Journey: Browse Feed,10752,12,1900.0,2635.4399809523907,36.5652999971644,10339.019400002144,5925.779482886905,11.940395440074743,0.013326334196511991,1900,3800,4600,5300,6500,7300,8400,8900,9900,10000,10000
GET,Journey: Browse Popular,4616,16,2500.0,2938.858963713155,36.50410000409465,10187.397900001088,4470.712521663778,5.126196554258279,0.01776844559534932,2500,4200,5100,5700,6800,7600,8700,9300,9900,10000,10000
POST,Journey: Create First Itinerary,4609,6,2000.0,2689.6719537643708,31.432199997652788,10095.79990000202,568.640052072033,5.118422859310313,0.006663167098255996,2000,3900,4800,5300,6500,7300,8300,9100,9900,10000,10000
POST,Journey: Create Itinerary,10719,20,1600.0,2467.627591221234,33.01780000037979,10116.46859999746,984.3707435395092,11.903748021034335,0.02221055699418665,1600,3500,4400,5100,6300,7100,8200,8800,9700,10000,10000
POST,Journey: Like,16046,20,310.0,327.78131045740133,32.335199997760355,4539.154599995527,51.167269101333666,17.81952987643595,0.02221055699418665,310,330,340,350,380,430,540,680,1100,4500,4500
POST,Journey: Like Itinerary,2336,1,310.0,328.31010303940684,42.04279999976279,1560.88529999397,51.134417808219176,2.594193056921001,0.0011105278497093325,310,330,340,350,390,430,520,630,1200,1600,1600
GET,Journey: My Itineraries,10547,16,1600.0,2424.842496340222,35.618100002466235,10070.983400000841,3412.948326538352,11.712737230884331,0.01776844559534932,1600,3400,4400,5000,6300,7100,8200,8900,9700,10000,10000
GET,Journey: Quick Browse,20636,39,1600.0,2498.6994065129034,34.57380000327248,10224.760400000378,2999.8352393874784,22.916852706601787,0.04331058613866397,1600,3600,4500,5100,6400,7200,8300,8900,9900,10000,10000
GET,Journey: Search,20195,39,6400.0,5948.537349814321,34.74570000253152,16261.135199994897,5300.692448625898,22.42710992487997,0.04331058613866397,6400,8500,9700,10000,12000,13000,14000,14000,16000,16000,16000
GET,Journey: Search Destination,4528,10,6900.0,6493.559093153702,35.69969999807654,16100.270799994178,5999.475265017668,5.0284701034838575,0.011105278497093325,6900,8900,10000,11000,12000,13000,14000,14000,16000,16000,16000
GET,Journey: View Comments,15448,26,58,78.67663083891021,33.85250000428641,4541.0722000015085,74.6402770585189,17.15543422230977,0.028873724092442647,58,61,65,69,110,160,260,440,1100,4500,4500
GET,Journey: View Detail,10733,22,1600.0,2426.2152678095626,35.57659999933094,10099.497700000938,865.1464641759061,11.919295410930266,0.024431612693605314,1600,3300,4300,5000,6200,7100,8200,9000,9900,10000,10000
GET,Journey: View Details,4685,10,1900.0,2546.3650233937583,34.524499998951796,10045.529499999247,845.9116328708644,5.202822975888223,0.011105278497093325,1900,3600,4600,5200,6300,7100,8300,8900,9900,10000,10000
GET,Journey: View Popular,20811,37,1300.0,2329.654289226886,32.035000003816094,10138.335099996766,859.3038297054443,23.11119508030092,0.041089530439245306,1300,3300,4300,5000,6200,7000,8100,8800,9800,10000,10000
POST,User Registration,1653,6,220.0,248.97785335748114,37.802400001965,4610.8416999995825,412.9655172413793,1.8357025355695267,0.006663167098255996,220,250,270,290,360,440,560,640,4500,4600,4600
,Aggregated,167286,293,370.0,2408.2794002020473,31.432199997652788,16261.135199994897,2209.104874287149,185.7757618664754,0.32538465996483446,370,2700,4300,5200,7000,9000,11000,12000,15000,16000,16000
