Method,Name,Error,Occurrences
GET,Fetch Available Itineraries,CatchResponseError('Failed to fetch: 503'),2
POST,Journey: Create First Itinerary,HTTPError('503 Server Error: Service Unavailable for url: Journey: Create First Itinerary'),16
POST,Journey: Create Itinerary,HTTPError('503 Server Error: Service Unavailable for url: Journey: Create Itinerary'),53
GET,Journey: Browse Popular,HTTPError('503 Server Error: Service Unavailable for url: Journey: Browse Popular'),74
POST,Journey: Like,HTTPError('503 Server Error: Service Unavailable for url: Journey: Like'),178
GET,Journey: View Comments,HTTPError('500 Server Error: Internal Server Error for url: Journey: View Comments'),357
GET,Journey: My Itineraries,HTTPError('503 Server Error: Service Unavailable for url: Journey: My Itineraries'),89
GET,Journey: Browse Feed,HTTPError('503 Server Error: Service Unavailable for url: Journey: Browse Feed'),148
GET,Journey: Search Destination,HTTPError('500 Server Error: Internal Server Error for url: Journey: Search Destination'),1
POST,Journey: Like,HTTPError('500 Server Error: Internal Server Error for url: Journey: Like'),537
POST,Journey: Like Itinerary,HTTPError('500 Server Error: Internal Server Error for url: Journey: Like Itinerary'),65
GET,Journey: View Popular,HTTPError('503 Server Error: Service Unavailable for url: Journey: View Popular'),177
GET,Journey: View Detail,HTTPError('503 Server Error: Service Unavailable for url: Journey: View Detail'),97
GET,Journey: View Details,HTTPError('503 Server Error: Service Unavailable for url: Journey: View Details'),49
POST,User Registration,HTTPError('503 Server Error: Service Unavailable for url: User Registration'),54
GET,Journey: Search,HTTPError('503 Server Error: Service Unavailable for url: Journey: Search'),261
GET,Journey: View Comments,HTTPError('503 Server Error: Service Unavailable for url: Journey: View Comments'),113
GET,Journey: Search Destination,HTTPError('503 Server Error: Service Unavailable for url: Journey: Search Destination'),44
POST,Journey: Add Comment,HTTPError('500 Server Error: Internal Server Error for url: Journey: Add Comment'),190
GET,Journey: Quick Browse,HTTPError('503 Server Error: Service Unavailable for url: Journey: Quick Browse'),441
POST,Journey: Like Itinerary,HTTPError('503 Server Error: Service Unavailable for url: Journey: Like Itinerary'),17
POST,Journey: Add Comment,HTTPError('503 Server Error: Service Unavailable for url: Journey: Add Comment'),81
