Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Fetch Available Itineraries,44,2,360.0,700.3660590904805,132.22359999781474,4722.740199998952,27874.363636363636,0.024443447762674396,0.0011110658073942908,380,560,700,780,1600,2400,4700,4700,4700,4700,4700
POST,Journey: Add Comment,14541,271,65,169.568072312821,28.891699999803677,8237.796100002015,181.82683446805584,8.078003952660191,0.1505494169019264,65,76,97,120,220,500,1400,2400,6800,8200,8200
GET,Journey: Browse Feed,27567,148,310.0,590.2967531178563,32.62499999982538,8477.523100002145,5862.050821634563,15.314375556219206,0.08221886974717751,310,520,780,930,1400,1900,2600,3100,7100,8400,8500
GET,Journey: Browse Popular,13823,74,310.0,601.2737773276239,33.30840000126045,8326.557799999136,4427.953555668089,7.67913132780564,0.04110943487358876,310,540,800,950,1500,2000,2600,3300,7000,8300,8300
POST,Journey: Create First Itinerary,4625,16,180.0,480.8723648216267,36.370600006193854,8315.201600002183,566.8702702702702,2.5693396795992975,0.008888526459154326,180,390,620,780,1300,1800,2400,2900,7400,8300,8300
POST,Journey: Create Itinerary,13687,53,200.0,486.44429493682435,33.84820000064792,8672.857799996564,979.4326733396654,7.603578852902829,0.029443243895948705,200,420,650,800,1300,1700,2300,2900,6700,8300,8700
POST,Journey: Like,41116,715,320.0,410.06727849255077,32.73510000144597,9002.131199995347,51.28205564743652,22.84129086841183,0.39720602614345896,320,340,370,380,480,760,1600,2600,7100,8500,9000
POST,Journey: Like Itinerary,4424,82,320.0,424.44443503614576,34.444500000972766,8464.954399998533,51.168173598553345,2.457677565956171,0.045553698103165924,320,350,370,390,520,880,1900,2900,7200,8500,8500
GET,Journey: My Itineraries,20426,89,140.0,456.00567516400594,33.07669999776408,8573.058200003288,3112.2764124155487,11.347315090917892,0.04944242842904594,140,350,600,760,1300,1700,2300,3000,7000,8200,8600
GET,Journey: Quick Browse,70582,441,290.0,568.3964162520258,33.00109999690903,8663.049099995987,2969.0068431044742,39.210623408751914,0.24499001053044112,290,470,740,900,1400,1900,2600,3300,7100,8300,8700
GET,Journey: Search,42271,261,3300.0,3102.3301783988613,32.06789999967441,9264.738799996849,5274.152208369805,23.482931372182033,0.14499408786495493,3300,4000,4500,4900,5700,6300,7000,7500,8500,9000,9300
GET,Journey: Search Destination,9161,45,3400.0,3216.7948280646137,33.24469999643043,9265.673699999752,5973.560091693046,5.089236930769549,0.024998980666371542,3400,4100,4600,5000,5800,6300,7000,7400,8500,9300,9300
GET,Journey: View Comments,25043,470,62,167.76648684661183,29.468000000633765,8076.505600001838,85.4584514634828,13.912210507287611,0.26110046473765836,62,72,91,110,210,530,1400,2500,6500,7700,8100
GET,Journey: View Detail,20429,97,140.0,444.82187944098183,33.14919999684207,8667.10189999867,875.1403886631749,11.348981689628983,0.0538866916586231,140,330,590,740,1200,1700,2300,2900,6900,8000,8700
GET,Journey: View Details,8993,49,140.0,450.3024297342147,33.796999996411614,8394.055999997363,868.2895585455354,4.995907402948428,0.027221112281160125,140,340,580,750,1200,1700,2500,3300,6800,8400,8400
GET,Journey: View Popular,28137,177,130.0,438.3454315740614,29.57810000225436,8645.301199998357,871.8038170380638,15.63102931132658,0.09832932395439473,130,310,560,720,1200,1700,2400,3200,7100,8500,8600
POST,User Registration,1952,54,440.0,666.5728239241708,36.47159999673022,8406.003800002509,406.781762295082,1.0844002280168277,0.02999877679964585,440,590,740,870,1500,2100,3000,4500,7800,8400,8400
,Aggregated,346821,3044,290.0,852.6426064125201,28.891699999803677,9265.673699999752,2447.912565848089,192.67047719314766,1.6910421588541105,290,470,830,1100,2800,4200,5500,6200,7900,8600,9300
